,right,cam,ctm,rate,cam_time,ctm_time,overtime
184,1,0,5645,,-43411.258904218674,-43411.22018313408,1
185,1,0,11850,,-43411.258904218674,-43411.22018313408,1
186,1,0,5575,,-43411.258904218674,-43411.22018313408,1
187,1,254,14044,,-43411.258904218674,-43411.22018313408,1
188,0,0,7753,,-43411.258904218674,-43411.22018313408,1
189,0,0,12182,,-43411.258904218674,-43411.22018313408,1
190,1,475,2792,,-43411.258904218674,-43411.22018313408,1
191,1,0,10357,,-43411.258904218674,-43411.22018313408,1
192,1,0,4073,,-43411.258904218674,-43411.22018313408,1
193,1,0,8944,,-43411.258904218674,-43411.22018313408,1
194,1,346,11398,,-43411.258904218674,-43411.22018313408,1
195,0,0,5669,,-43411.258904218674,-43411.22018313408,1
196,1,297,13229,,-43411.258904218674,-43411.22018313408,1
197,1,0,13788,,-43411.258904218674,-43411.22018313408,1
198,1,0,7798,,-43411.258904218674,-43411.22018313408,1
199,1,327,12318,,-43411.258904218674,-43411.22018313408,1
200,1,0,11843,,-43411.258904218674,-43411.22018313408,1
201,0,477,2714,,-43411.258904218674,-43411.22018313408,1
202,1,0,14449,,-43411.258904218674,-43411.22018313408,1
203,1,215,14385,,-43411.258904218674,-43411.22018313408,1
204,1,326,12320,,-43411.258904218674,-43411.22018313408,1
205,1,0,12311,,-43411.258904218674,-43411.22018313408,1
206,1,0,6764,,-43411.258904218674,-43411.22018313408,1
207,1,316,12712,,-43411.258904218674,-43411.22018313408,1
208,1,253,14066,,-43411.258904218674,-43411.22018313408,1
209,1,0,12654,,-43411.258904218674,-43411.22018313408,1
210,1,0,5994,,-43411.258904218674,-43411.22018313408,1
211,0,0,3115,,-43411.258904218674,-43411.22018313408,1
212,1,0,7195,,-43411.258904218674,-43411.22018313408,1
213,1,0,4834,,-43411.258904218674,-43411.22018313408,1
214,1,263,13916,,-43411.258904218674,-43411.22018313408,1
215,1,0,11632,,-43411.258904218674,-43411.22018313408,1
216,1,461,3649,,-43411.258904218674,-43411.22018313408,1
217,1,0,12467,,-43411.258904218674,-43411.22018313408,1
218,1,317,12687,,-43411.258904218674,-43411.22018313408,1
219,1,454,4097,,-43411.258904218674,-43411.22018313408,1
220,1,0,3381,,-43411.258904218674,-43411.22018313408,1
221,1,0,7800,,-43411.258904218674,-43411.22018313408,1
222,1,319,12631,,-43411.258904218674,-43411.22018313408,1
223,1,130,14728,,-43411.258904218674,-43411.22018313408,1
224,1,0,6378,,-43411.258904218674,-43411.22018313408,1
225,1,0,5597,,-43411.258904218674,-43411.22018313408,1
226,0,511,1269,,-43411.258904218674,-43411.22018313408,1
227,1,0,6328,,-43411.258904218674,-43411.22018313408,1
228,0,0,6641,,-43411.258904218674,-43411.22018313408,1
229,0,502,1592,,-43411.258904218674,-43411.22018313408,1
230,1,0,10518,,-43411.258904218674,-43411.22018313408,1
231,1,0,12270,,-43411.258904218674,-43411.22018313408,1
232,1,500,1668,,-43411.258904218674,-43411.22018313408,1
233,1,0,8197,,-43411.258904218674,-43411.22018313408,1
234,1,267,13867,,-43411.258904218674,-43411.22018313408,1
235,1,0,14506,,-43411.258904218674,-43411.22018313408,1
236,1,156,14641,,-43411.258904218674,-43411.22018313408,1
237,0,476,2779,,-43411.258904218674,-43411.22018313408,1
238,1,359,10723,,-43411.258904218674,-43411.22018313408,1
239,1,0,4733,,-43411.258904218674,-43411.22018313408,1
240,1,0,14170,,-43411.258904218674,-43411.22018313408,1
241,1,0,10368,,-43411.258904218674,-43411.22018313408,1
242,1,0,4444,,-43411.258904218674,-43411.22018313408,1
243,1,283,13570,,-43411.258904218674,-43411.22018313408,1
244,1,0,11430,,-43411.258904218674,-43411.22018313408,1
245,0,488,2172,,-43411.258904218674,-43411.22018313408,1
246,1,0,10345,,-43411.258904218674,-43411.22018313408,1
247,0,0,1988,,-43411.258904218674,-43411.22018313408,1
248,1,0,6108,,-43411.258904218674,-43411.22018313408,1
249,1,0,6483,,-43411.258904218674,-43411.22018313408,1
250,1,0,8922,,-43411.258904218674,-43411.22018313408,1
251,1,523,963,,-43411.258904218674,-43411.22018313408,1
252,1,348,11344,,-43411.258904218674,-43411.22018313408,1
253,1,0,12288,,-43411.258904218674,-43411.22018313408,1
254,0,0,4978,,-43411.258904218674,-43411.22018313408,1
255,0,0,6055,,-43411.258904218674,-43411.22018313408,1
256,0,0,9874,,-43411.258904218674,-43411.22018313408,1
257,1,339,11736,,-43411.258904218674,-43411.22018313408,1
258,0,0,7520,,-43411.258904218674,-43411.22018313408,1
259,1,361,10666,,-43411.258904218674,-43411.22018313408,1
260,1,0,8450,,-43411.258904218674,-43411.22018313408,1
261,1,0,12075,,-43411.258904218674,-43411.22018313408,1
262,1,0,3587,,-43411.258904218674,-43411.22018313408,1
263,1,0,7134,,-43411.258904218674,-43411.22018313408,1
264,1,0,7435,,-43411.258904218674,-43411.22018313408,1
265,1,0,5475,,-43411.258904218674,-43411.22018313408,1
266,1,0,10174,,-43411.258904218674,-43411.22018313408,1
267,1,378,9697,,-43411.258904218674,-43411.22018313408,1
268,1,0,12172,,-43411.258904218674,-43411.22018313408,1
269,1,0,7385,,-43411.258904218674,-43411.22018313408,1
270,1,0,8536,,-43411.258904218674,-43411.22018313408,1
271,1,0,3217,,-43411.258904218674,-43411.22018313408,1
272,1,365,10390,,-43411.258904218674,-43411.22018313408,1
273,1,0,13221,,-43411.258904218674,-43411.22018313408,1
274,1,303,13065,,-43411.258904218674,-43411.22018313408,1
275,1,0,9408,,-43411.258904218674,-43411.22018313408,1
276,1,329,12214,,-43411.258904218674,-43411.22018313408,1
277,1,0,4869,,-43411.258904218674,-43411.22018313408,1
278,1,0,10470,,-43411.258904218674,-43411.22018313408,1
279,1,458,3856,,-43411.258904218674,-43411.22018313408,1
280,1,335,11927,,-43411.258904218674,-43411.22018313408,1
281,1,0,5073,,-43411.258904218674,-43411.22018313408,1
282,1,270,13834,,-43411.258904218674,-43411.22018313408,1
283,1,284,13561,,-43411.258904218674,-43411.22018313408,1
284,1,0,9768,,-43411.258904218674,-43411.22018313408,1
285,1,127,14737,,-43411.258904218674,-43411.22018313408,1
286,1,493,1925,,-43411.258904218674,-43411.22018313408,1
287,1,0,6717,,-43411.258904218674,-43411.22018313408,1
288,1,0,12338,,-43411.258904218674,-43411.22018313408,1
289,1,0,12819,,-43411.258904218674,-43411.22018313408,1
290,1,391,8867,,-43411.258904218674,-43411.22018313408,1
291,1,240,14192,,-43411.258904218674,-43411.22018313408,1
292,1,0,12371,,-43411.258904218674,-43411.22018313408,1
293,0,0,8000,,-43411.258904218674,-43411.22018313408,1
294,1,0,8740,,-43411.258904218674,-43411.22018313408,1
295,1,0,10398,,-43411.258904218674,-43411.22018313408,1
296,1,0,10177,,-43411.258904218674,-43411.22018313408,1
297,1,274,13759,,-43411.258904218674,-43411.22018313408,1
298,1,0,4696,,-43411.258904218674,-43411.22018313408,1
299,1,0,12369,,-43411.258904218674,-43411.22018313408,1
300,1,0,9301,,-43411.258904218674,-43411.22018313408,1
301,1,209,14411,,-43411.258904218674,-43411.22018313408,1
302,1,0,4369,,-43411.258904218674,-43411.22018313408,1
303,1,0,3096,,-43411.258904218674,-43411.22018313408,1
304,1,0,10924,,-43411.258904218674,-43411.22018313408,1
305,1,294,13310,,-43411.258904218674,-43411.22018313408,1
306,1,0,3223,,-43411.258904218674,-43411.22018313408,1
307,1,0,12646,,-43411.258904218674,-43411.22018313408,1
308,1,0,8881,,-43411.258904218674,-43411.22018313408,1
309,0,306,12989,,-43411.258904218674,-43411.22018313408,1
310,1,0,9606,,-43411.258904218674,-43411.22018313408,1
311,1,208,14417,,-43411.258904218674,-43411.22018313408,1
312,1,268,13853,,-43411.258904218674,-43411.22018313408,1
313,1,0,3483,,-43411.258904218674,-43411.22018313408,1
314,1,0,10060,,-43411.258904218674,-43411.22018313408,1
315,1,0,11717,,-43411.258904218674,-43411.22018313408,1
316,0,469,3161,,-43411.258904218674,-43411.22018313408,1
317,1,281,13612,,-43411.258904218674,-43411.22018313408,1
318,1,0,9234,,-43411.258904218674,-43411.22018313408,1
319,1,336,11906,,-43411.258904218674,-43411.22018313408,1
320,1,0,11552,,-43411.258904218674,-43411.22018313408,1
321,1,0,6015,,-43411.258904218674,-43411.22018313408,1
322,1,0,9124,,-43411.258904218674,-43411.22018313408,1
323,1,0,10802,,-43411.258904218674,-43411.22018313408,1
324,0,505,1482,,-43411.258904218674,-43411.22018313408,1
325,1,0,3391,,-43411.258904218674,-43411.22018313408,1
326,1,0,12335,,-43411.258904218674,-43411.22018313408,1
327,1,0,4452,,-43411.258904218674,-43411.22018313408,1
328,1,0,6906,,-43411.258904218674,-43411.22018313408,1
329,1,0,7072,,-43411.258904218674,-43411.22018313408,1
330,1,304,13045,,-43411.258904218674,-43411.22018313408,1
331,1,276,13722,,-43411.258904218674,-43411.22018313408,1
332,1,0,10922,,-43411.258904218674,-43411.22018313408,1
333,1,0,13049,,-43411.258904218674,-43411.22018313408,1
334,1,0,8402,,-43411.258904218674,-43411.22018313408,1
335,1,355,10993,,-43411.258904218674,-43411.22018313408,1
336,1,0,10530,,-43411.258904218674,-43411.22018313408,1
337,1,0,10071,,-43411.258904218674,-43411.22018313408,1
338,1,0,7053,,-43411.258904218674,-43411.22018313408,1
339,1,451,4307,,-43411.258904218674,-43411.22018313408,1
340,1,0,1934,,-43411.258904218674,-43411.22018313408,1
341,1,0,12757,,-43411.258904218674,-43411.22018313408,1
342,1,261,13944,,-43411.258904218674,-43411.22018313408,1
343,1,0,2950,,-43411.258904218674,-43411.22018313408,1
344,1,478,2628,,-43411.258904218674,-43411.22018313408,1
345,1,0,2624,,-43411.258904218674,-43411.22018313408,1
346,1,490,2059,,-43411.258904218674,-43411.22018313408,1
347,1,0,9035,,-43411.258904218674,-43411.22018313408,1
348,1,0,13044,,-43411.258904218674,-43411.22018313408,1
349,1,0,9382,,-43411.258904218674,-43411.22018313408,1
350,1,368,10229,,-43411.258904218674,-43411.22018313408,1
351,1,243,14161,,-43411.258904218674,-43411.22018313408,1
352,1,322,12507,,-43411.258904218674,-43411.22018313408,1
353,1,287,13482,,-43411.258904218674,-43411.22018313408,1
354,0,373,9976,,-43411.258904218674,-43411.22018313408,1
355,0,496,1801,,-43411.258904218674,-43411.22018313408,1
356,0,0,5176,,-43411.258904218674,-43411.22018313408,1
357,1,0,6987,,-43411.258904218674,-43411.22018313408,1
358,1,0,7861,,-43411.258904218674,-43411.22018313408,1
359,1,0,11859,,-43411.258904218674,-43411.22018313408,1
360,1,0,9091,,-43411.258904218674,-43411.22018313408,1
361,1,0,8079,,-43411.258904218674,-43411.22018313408,1
362,1,0,12533,,-43411.258904218674,-43411.22018313408,1
363,1,0,6920,,-43411.258904218674,-43411.22018313408,1
364,1,0,10637,,-43411.258904218674,-43411.22018313408,1
365,1,0,4068,,-43411.258904218674,-43411.22018313408,1
366,1,0,11317,,-43411.258904218674,-43411.22018313408,1
367,1,520,1027,,-43411.258904218674,-43411.22018313408,1
368,0,0,1518,,-43411.258904218674,-43411.22018313408,1
369,1,0,12502,,-43411.258904218674,-43411.22018313408,1
370,1,497,1764,,-43411.258904218674,-43411.22018313408,1
371,1,97,14818,,-43411.258904218674,-43411.22018313408,1
372,1,0,13490,,-43411.258904218674,-43411.22018313408,1
373,1,0,12749,,-43411.258904218674,-43411.22018313408,1
374,1,52,14945,,-43411.258904218674,-43411.22018313408,1
375,1,0,13452,,-43411.258904218674,-43411.22018313408,1
376,1,560,372,,-43411.258904218674,-43411.22018313408,1
377,1,0,12272,,-43411.258904218674,-43411.22018313408,1
378,0,499,1720,,-43411.258904218674,-43411.22018313408,1
379,1,299,13184,,-43411.258904218674,-43411.22018313408,1
380,1,216,14384,,-43411.258904218674,-43411.22018313408,1
381,1,0,10158,,-43411.258904218674,-43411.22018313408,1
382,1,0,10678,,-43411.258904218674,-43411.22018313408,1
383,1,0,4308,,-43411.258904218674,-43411.22018313408,1
384,1,0,2693,,-43411.258904218674,-43411.22018313408,1
385,0,0,8223,,-43411.258904218674,-43411.22018313408,1
386,1,0,10589,,-43411.258904218674,-43411.22018313408,1
387,1,550,482,,-43411.258904218674,-43411.22018313408,1
388,1,0,11575,,-43411.258904218674,-43411.22018313408,1
389,1,177,14557,,-43411.258904218674,-43411.22018313408,1
390,1,0,14739,,-43411.258904218674,-43411.22018313408,1
391,1,345,11451,,-43411.258904218674,-43411.22018313408,1
392,1,0,9197,,-43411.258904218674,-43411.22018313408,1
393,1,0,1890,,-43411.258904218674,-43411.22018313408,1
394,1,0,6580,,-43411.258904218674,-43411.22018313408,1
395,1,0,12743,,-43411.258904218674,-43411.22018313408,1
396,1,0,9324,,-43411.258904218674,-43411.22018313408,1
397,0,0,4742,,-43411.258904218674,-43411.22018313408,1
398,1,111,14789,,-43411.258904218674,-43411.22018313408,1
399,0,0,4129,,-43411.258904218674,-43411.22018313408,1
400,1,0,10285,,-43411.258904218674,-43411.22018313408,1
401,1,0,3841,,-43411.258904218674,-43411.22018313408,1
402,1,0,13812,,-43411.258904218674,-43411.22018313408,1
403,1,0,8442,,-43411.258904218674,-43411.22018313408,1
404,1,0,12225,,-43411.258904218674,-43411.22018313408,1
405,1,0,5793,,-43411.258904218674,-43411.22018313408,1
406,1,0,14419,,-43411.258904218674,-43411.22018313408,1
407,1,0,10571,,-43411.258904218674,-43411.22018313408,1
408,1,0,12615,,-43411.258904218674,-43411.22018313408,1
409,1,0,10927,,-43411.258904218674,-43411.22018313408,1
410,1,0,11938,,-43411.258904218674,-43411.22018313408,1
411,1,0,14032,,-43411.258904218674,-43411.22018313408,1
412,1,0,5765,,-43411.258904218674,-43411.22018313408,1
413,1,0,12556,,-43411.258904218674,-43411.22018313408,1
414,1,0,8039,,-43411.258904218674,-43411.22018313408,1
415,1,241,14184,,-43411.258904218674,-43411.22018313408,1
416,1,0,10355,,-43411.258904218674,-43411.22018313408,1
417,1,526,881,,-43411.258904218674,-43411.22018313408,1
418,1,186,14516,,-43411.258904218674,-43411.22018313408,1
419,1,0,8637,,-43411.258904218674,-43411.22018313408,1
420,1,0,7037,,-43411.258904218674,-43411.22018313408,1
421,1,0,3401,,-43411.258904218674,-43411.22018313408,1
422,1,0,2611,,-43411.258904218674,-43411.22018313408,1
423,1,0,8871,,-43411.258904218674,-43411.22018313408,1
424,1,0,12190,,-43411.258904218674,-43411.22018313408,1
425,1,264,13903,,-43411.258904218674,-43411.22018313408,1
426,0,0,7646,,-43411.258904218674,-43411.22018313408,1
427,1,0,6783,,-43411.258904218674,-43411.22018313408,1
428,0,0,5012,,-43411.258904218674,-43411.22018313408,1
429,1,352,11147,,-43411.258904218674,-43411.22018313408,1
430,0,0,5877,,-43411.258904218674,-43411.22018313408,1
431,0,0,5433,,-43411.258904218674,-43411.22018313408,1
432,1,0,7321,,-43411.258904218674,-43411.22018313408,1
433,0,506,1461,,-43411.258904218674,-43411.22018313408,1
434,0,0,10085,,-43411.258904218674,-43411.22018313408,1
435,1,0,11700,,-43411.258904218674,-43411.22018313408,1
436,1,0,2911,,-43411.258904218674,-43411.22018313408,1
437,1,0,2724,,-43411.258904218674,-43411.22018313408,1
438,1,0,2839,,-43411.258904218674,-43411.22018313408,1
439,1,308,12953,,-43411.258904218674,-43411.22018313408,1
440,1,285,13515,,-43411.258904218674,-43411.22018313408,1
441,0,0,5928,,-43411.258904218674,-43411.22018313408,1
442,1,0,13865,,-43411.258904218674,-43411.22018313408,1
443,1,0,8974,,-43411.258904218674,-43411.22018313408,1
444,1,0,5922,,-43411.258904218674,-43411.22018313408,1
445,1,0,7433,,-43411.258904218674,-43411.22018313408,1
446,1,262,13931,,-43411.258904218674,-43411.22018313408,1
447,1,245,14144,,-43411.258904218674,-43411.22018313408,1
448,1,0,6070,,-43411.258904218674,-43411.22018313408,1
449,0,0,11823,,-43411.258904218674,-43411.22018313408,1
450,1,0,12391,,-43411.258904218674,-43411.22018313408,1
451,1,288,13476,,-43411.258904218674,-43411.22018313408,1
452,1,398,8370,,-43411.258904218674,-43411.22018313408,1
453,1,0,6891,,-43411.258904218674,-43411.22018313408,1
454,1,0,11111,,-43411.258904218674,-43411.22018313408,1
455,1,255,14029,,-43411.258904218674,-43411.22018313408,1
456,1,0,4989,,-43411.258904218674,-43411.22018313408,1
457,0,0,7361,,-43411.258904218674,-43411.22018313408,1
458,1,0,4415,,-43411.258904218674,-43411.22018313408,1
459,1,0,5222,,-43411.258904218674,-43411.22018313408,1
460,1,0,13864,,-43411.258904218674,-43411.22018313408,1
461,1,291,13380,,-43411.258904218674,-43411.22018313408,1
462,1,350,11244,,-43411.258904218674,-43411.22018313408,1
463,1,485,2270,,-43411.258904218674,-43411.22018313408,1
