,ts,deepgini_cam,dsc_cam,dsc_ctm,lsc_index_-1_cam,lsc_index_-1_ctm,nac_t_0.75_cam,nac_t_0.75_ctm,nac_t_0_cam,nac_t_0_ctm,nbc_std_0.5_cam,nbc_std_0.5_ctm,nbc_std_0_cam,nbc_std_0_ctm,nbc_std_1_cam,nbc_std_1_ctm,random_random,snac_std_0.5_cam,snac_std_0.5_ctm,snac_std_0_cam,snac_std_0_ctm,snac_std_1_cam,snac_std_1_ctm,tknc_k_1_cam,tknc_k_2_cam,tknc_k_3_cam
0,0,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555,0.000699999975040555
1,1,0.8876500129699707,0.8845750093460083,0.8871250152587891,0.8867499828338623,0.8857499957084656,0.8851000070571899,0.8880000114440918,0.8860250115394592,0.8900750279426575,0.8846250176429749,0.8891249895095825,0.8854249715805054,0.8880500197410583,0.8848999738693237,0.8901000022888184,0.8880500197410583,0.8858749866485596,0.8888750076293945,0.8849499821662903,0.8896499872207642,0.8853750228881836,0.8898249864578247,0.8847249746322632,0.8852999806404114,0.8849250078201294
2,2,0.903249979019165,0.8900250196456909,0.8970500230789185,0.8895249962806702,0.9000499844551086,0.8881000280380249,0.8911499977111816,0.8888499736785889,0.8965250253677368,0.8888499736785889,0.8966749906539917,0.8892999887466431,0.8931999802589417,0.8889750242233276,0.8974499702453613,0.8922749757766724,0.8885250091552734,0.8978499770164491,0.8881499767303467,0.8949249982833862,0.8886749744415283,0.8981000185012817,0.8888000249862671,0.8888499736785889,0.8891500234603882
3,3,0.9221000075340272,0.8912749886512756,0.9035750031471252,0.8915500044822693,0.9180499911308287,0.8909249901771545,0.8914250135421753,0.8907750248908997,0.9027249813079834,0.8912749886512756,0.900974988937378,0.8916500210762024,0.8983749747276306,0.8909749984741211,0.9019500017166138,0.8977000117301941,0.8913499712944031,0.9028249979019164,0.8910999894142151,0.9007750153541564,0.8910250067710876,0.9023500084877014,0.8904500007629395,0.890874981880188,0.8900499939918518
4,4,0.940400004386902,0.8955000042915344,0.9099249839782716,0.8973000049591064,0.9320250153541564,0.8964750170707703,0.8922749757766724,0.8975499868392944,0.9088749885559082,0.8967249989509583,0.9063749909400941,0.8962249755859375,0.9049000144004822,0.8971250057220459,0.9077249765396118,0.9022499918937684,0.8968250155448914,0.9068750143051147,0.8966749906539917,0.9067500233650208,0.8968499898910522,0.9078500270843506,0.8971250057220459,0.8965250253677368,0.8965499997138977
5,5,0.9546999931335448,0.9003499746322632,0.9164999723434448,0.9012749791145324,0.946624994277954,0.9009249806404114,0.893625020980835,0.9006749987602234,0.9122499823570251,0.9010499715805054,0.9114750027656556,0.900849997997284,0.9118250012397766,0.901224970817566,0.9108499884605408,0.9061250090599059,0.9007999897003174,0.910950005054474,0.9006999731063843,0.9108499884605408,0.900950014591217,0.9114249944686891,0.8999000191688538,0.9010750055313109,0.9007499814033508
6,6,0.963800013065338,0.9045000076293944,0.9232249855995178,0.9046249985694884,0.9586250185966492,0.904449999332428,0.8947499990463257,0.9041500091552734,0.917074978351593,0.9054250121116638,0.9162499904632568,0.9050750136375428,0.9185000061988832,0.90482497215271,0.9169750213623048,0.9107499718666076,0.9043750166893004,0.9164999723434448,0.904699981212616,0.9168750047683716,0.9039499759674072,0.9166749715805054,0.9049249887466432,0.9051749706268309,0.9049749970436096
7,7,0.9691749811172484,0.9103999733924866,0.9288750290870668,0.9097999930381776,0.9656249880790709,0.9081000089645386,0.8963000178337097,0.90829998254776,0.9226750135421752,0.9088249802589417,0.9218249917030334,0.9086499810218812,0.9222999811172484,0.90829998254776,0.9218999743461608,0.91525000333786,0.9082750082015992,0.922249972820282,0.9082249999046326,0.9203000068664552,0.908424973487854,0.9220499992370604,0.9081500172615052,0.9081500172615052,0.9087499976158142
8,8,0.9732499718666076,0.9128000140190125,0.9351249933242798,0.9125750064849854,0.9706249833106996,0.9123499989509584,0.8983500003814697,0.9121500253677368,0.9270750284194946,0.9127249717712402,0.9258249998092652,0.9139000177383424,0.9279000163078308,0.9130749702453612,0.9269750118255616,0.9199749827384948,0.9129250049591064,0.9265249967575072,0.9128249883651732,0.9259250164031982,0.913574993610382,0.9262499809265136,0.9127749800682068,0.912750005722046,0.9118750095367432
9,9,0.9762499928474426,0.9153249859809875,0.9412500262260436,0.9141499996185304,0.974150002002716,0.9141250252723694,0.8994749784469604,0.9139500260353088,0.930050015449524,0.9143499732017516,0.9314500093460084,0.9149249792099,0.9301249980926514,0.9135000109672546,0.9309250116348268,0.9227499961853028,0.9142749905586244,0.9309499859809875,0.9139999747276306,0.930774986743927,0.9142749905586244,0.9309750199317932,0.9154250025749208,0.9139249920845032,0.9139999747276306
10,10,0.9782500267028807,0.9176999926567078,0.9456250071525574,0.9172000288963318,0.9766749739646912,0.916800022125244,0.8992999792098999,0.9169999957084656,0.9343500137329102,0.9164000153541564,0.9338250160217284,0.9173499941825868,0.9333000183105468,0.916849970817566,0.9348000288009644,0.9255250096321106,0.9162750244140624,0.9345750212669371,0.9169999957084656,0.9336000084877014,0.9165499806404114,0.9343500137329102,0.916575014591217,0.91635000705719,0.9163249731063844
