,ts,deepgini_cam,dsc_cam,dsc_ctm,lsc_index_-1_cam,lsc_index_-1_ctm,nac_t_0.75_cam,nac_t_0.75_ctm,nac_t_0_cam,nac_t_0_ctm,nbc_std_0.5_cam,nbc_std_0.5_ctm,nbc_std_0_cam,nbc_std_0_ctm,nbc_std_1_cam,nbc_std_1_ctm,random_random,snac_std_0.5_cam,snac_std_0.5_ctm,snac_std_0_cam,snac_std_0_ctm,snac_std_1_cam,snac_std_1_ctm,tknc_k_1_cam,tknc_k_2_cam,tknc_k_3_cam
0,0,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602,0.0021004201844334602
1,1,0.6265752911567688,0.569338858127594,0.643203616142273,0.5364573001861572,0.6208491921424866,0.5288057327270508,0.6155731081962585,0.5584366917610168,0.6946889162063599,0.5769153833389282,0.58409184217453,0.5065013170242311,0.6625325083732605,0.5661382079124451,0.6702090501785278,0.6909632086753845,0.5835916996002197,0.6000950336456299,0.640978217124939,0.6320264339447021,0.5374825000762941,0.6115723252296448,0.5734897255897522,0.6081716418266296,0.5935937166213989
2,2,0.6923635005950928,0.6214993000030518,0.7175934910774231,0.6227745413780212,0.6554560661315918,0.5828165411949158,0.6546809077262878,0.5910181999206543,0.6329516172409058,0.5816913247108461,0.6534556746482849,0.5951940417289734,0.6516303420066833,0.5845919251441956,0.6247499585151672,0.7439988255500793,0.6200489997863771,0.6080465912818909,0.6300010085105896,0.6363022327423096,0.5675135254859924,0.6770853996276855,0.5964943170547485,0.5670884251594543,0.5744898915290833
3,3,0.7221694588661194,0.5940937995910645,0.7602270245552063,0.5856420993804932,0.6712592244148254,0.6418033838272095,0.7145929336547852,0.6079216003417969,0.670859158039093,0.6159982085227966,0.6648829579353333,0.6520053744316101,0.6428785920143127,0.6249749660491943,0.6549059748649597,0.782181441783905,0.655981183052063,0.5943188667297363,0.5916933417320251,0.6473544836044312,0.6373274922370911,0.6424034833908081,0.6807111501693726,0.6680836081504822,0.6152480244636536
4,4,0.7893579006195068,0.6633076667785645,0.8073614835739136,0.6536807417869568,0.7258701920509338,0.6506301164627075,0.6881126165390015,0.6643078327178955,0.6794359087944031,0.6672084331512451,0.6820114254951477,0.645729124546051,0.6589818000793457,0.6739597916603088,0.6798609495162964,0.7959591746330261,0.6686837077140808,0.6344518661499023,0.6613572835922241,0.6647079586982727,0.658406674861908,0.6789608001708984,0.6886627078056335,0.6734346747398376,0.6756101250648499
5,5,0.7918083667755127,0.6940388083457947,0.8207891583442688,0.7290458083152771,0.7525255084037781,0.6964142918586731,0.7142928838729858,0.6941388249397278,0.7003650665283203,0.695989191532135,0.7007151246070862,0.7115923166275024,0.7082916498184204,0.7118423581123352,0.6936637163162231,0.8107621669769287,0.6963642835617065,0.6836367249488831,0.7131926417350769,0.692563533782959,0.707116425037384,0.7089418172836304,0.6854621171951294,0.6983896493911743,0.698739767074585
6,6,0.8247149586677551,0.7257451415061951,0.8425934910774231,0.6911382079124451,0.7941588163375854,0.6859371662139893,0.7466743588447571,0.729720950126648,0.728620707988739,0.7234447002410889,0.6868123412132263,0.6937887668609619,0.7171184420585632,0.6924384832382202,0.7208191752433777,0.8234646916389465,0.6826615333557129,0.6834616661071777,0.7135177254676819,0.7127425670623779,0.7147179245948792,0.6937637329101562,0.7139427661895752,0.6829366087913513,0.7274705171585083
7,7,0.8404181003570557,0.741398274898529,0.8633976578712463,0.73932284116745,0.7806061506271362,0.7515503168106079,0.74724942445755,0.7482496500015259,0.7501750588417053,0.7525755167007446,0.7364472746849059,0.7526004910469055,0.7582516670227051,0.7589768171310425,0.7561011910438538,0.8399429917335509,0.7396729588508606,0.740198016166687,0.7390727996826172,0.741298258304596,0.7512752413749695,0.7470744252204895,0.7453490495681763,0.7110671997070312,0.7562512755393982
8,8,0.8601470589637756,0.7805560827255249,0.8703240752220154,0.7667783498764038,0.8286657333374023,0.7736797332763672,0.7747799754142761,0.775580108165741,0.7936587333679199,0.7803810834884644,0.7849820256233215,0.7618523836135864,0.7888827919960022,0.7518003582954407,0.7905831336975098,0.844793975353241,0.7514503002166748,0.7878325581550598,0.7777055501937866,0.7839317917823792,0.7747049331665039,0.7902080416679382,0.7664783000946045,0.7422734498977661,0.774679958820343
9,9,0.8656981587409973,0.7802560329437256,0.8786007165908813,0.7810062170028687,0.8357671499252319,0.7595518827438354,0.7973344922065735,0.7958841919898987,0.8032606244087219,0.7833316922187805,0.8041108250617981,0.7724545001983643,0.7982346415519714,0.7724545001983643,0.8101370334625244,0.8480195999145508,0.7638777494430542,0.8044608831405641,0.7771804332733154,0.7946589589118958,0.7766553163528442,0.8000100255012512,0.7730796337127686,0.7815563082695007,0.7882076501846313
10,10,0.8902530670166016,0.8080615997314453,0.8971544504165649,0.800710141658783,0.8573464751243591,0.775580108165741,0.8074114918708801,0.7739548087120056,0.8188387751579285,0.7995849251747131,0.8113372921943665,0.773154616355896,0.8123124837875366,0.7807061672210693,0.8205640912055969,0.8622474670410156,0.7828565835952759,0.8074114918708801,0.7889328002929688,0.8293908834457397,0.7848819494247437,0.8217143416404724,0.7807061672210693,0.7707541584968567,0.796309232711792
