,ts,deepgini_cam,lsc_index_-1_cam,lsc_index_-1_ctm,nac_t_0.75_cam,nac_t_0.75_ctm,nac_t_0_cam,nac_t_0_ctm,nbc_std_0.5_cam,nbc_std_0.5_ctm,nbc_std_0_cam,nbc_std_0_ctm,nbc_std_1_cam,nbc_std_1_ctm,random_random,snac_std_0.5_cam,snac_std_0.5_ctm,snac_std_0_cam,snac_std_0_ctm,snac_std_1_cam,snac_std_1_ctm,tknc_k_1_cam,tknc_k_2_cam,tknc_k_3_cam
0,0,0.00037589273415505886,0.0003508332301862538,0.0003508332301862538,0.00037589273415505886,0.00037589273415505886,0.00037589273415505886,0.00037589273415505886,0.00037589273415505886,0.00037589273415505886,0.00037589273415505886,0.00037589273415505886,0.00037589273415505886,0.00037589273415505886,0.0003508332301862538,0.0003508332301862538,0.0003508332301862538,0.0003508332301862538,0.0003508332301862538,0.0003508332301862538,0.0003508332301862538,0.00037589273415505886,0.00037589273415505886,0.00037589273415505886
1,1,0.8940734267234802,0.9034957885742188,0.8900889754295349,0.9000877141952515,0.8957774639129639,0.8991855382919312,0.8940734267234802,0.8998371362686157,0.8971807956695557,0.9024432897567748,0.8975817561149597,0.9007893800735474,0.8949254751205444,0.8942738771438599,0.9015913009643556,0.8976569175720215,0.9010149240493774,0.8977822065353394,0.8999122977256775,0.8983585834503174,0.900238037109375,0.8990602493286133,0.900588870048523
2,2,0.9136449098587036,0.911890745162964,0.907831072807312,0.9101114869117736,0.8961784243583679,0.9117904901504515,0.9004385471343994,0.9097857475280762,0.9048740863800048,0.9112642407417296,0.9032201766967772,0.911189079284668,0.903997004032135,0.9035710096359252,0.9098107814788818,0.9039218425750732,0.9114396572113036,0.9070292115211488,0.9108632802963256,0.9024683833122252,0.9115148186683656,0.9105124473571776,0.911765456199646
3,3,0.9322140216827391,0.915950357913971,0.926550567150116,0.9159754514694214,0.8994110822677612,0.9145971536636353,0.9067535400390624,0.9131186604499816,0.910888373851776,0.9161007404327391,0.90973562002182,0.9172284007072448,0.9081318378448486,0.9089086651802064,0.911991000175476,0.9098107814788818,0.9146472811698914,0.9113895297050476,0.9150232076644896,0.910036325454712,0.9144217371940612,0.9160757064819336,0.9163011908531188
4,4,0.9514346718788148,0.9184563159942628,0.9453702569007874,0.9207367300987244,0.9009397029876708,0.9178047776222228,0.915424108505249,0.9151484966278076,0.9197594523429872,0.9171282052993774,0.9168775677680968,0.9148728251457214,0.9177045226097108,0.9147224426269532,0.9105876684188844,0.9186317324638368,0.9181305766105652,0.9177296161651612,0.9178047776222228,0.9185565710067748,0.9147976636886596,0.9183561205863952,0.9160506129264832
5,5,0.9641398191452026,0.922490894794464,0.9611327052116394,0.9203107357025146,0.9046986699104308,0.9185315370559692,0.9242200255393982,0.922440767288208,0.9276280999183656,0.9187319874763488,0.9267510175704956,0.9190326929092408,0.924570858478546,0.9188071489334106,0.917103111743927,0.9260493516921996,0.9190076589584352,0.926024317741394,0.9199599027633668,0.92341810464859,0.9181556105613708,0.9196842312812804,0.9209622740745544
6,6,0.9721588492393494,0.9273273944854736,0.9705049395561218,0.924245059490204,0.9058514237403871,0.925573229789734,0.9277283549308776,0.9226412773132324,0.9314121007919312,0.9243202805519104,0.9304848909378052,0.924921691417694,0.9287808537483216,0.9214133620262146,0.927653193473816,0.9296078085899352,0.9230923652648926,0.9316376447677612,0.923894226551056,0.9296579360961914,0.923718810081482,0.9209622740745544,0.92429518699646
7,7,0.9763187766075134,0.9304097294807434,0.9756171107292176,0.9261245727539062,0.9057010412216188,0.927001655101776,0.9340934753417968,0.92429518699646,0.9373010993003844,0.9295075535774232,0.9326901435852052,0.9272772669792176,0.9362486004829408,0.9277283549308776,0.926024317741394,0.9344443082809448,0.926901400089264,0.9349705576896667,0.9302593469619752,0.9332915544509888,0.928755819797516,0.9229670763015748,0.927302360534668
8,8,0.9796265959739684,0.9335170984268188,0.9792256355285645,0.9305350184440612,0.907480239868164,0.9315624833106996,0.9378774762153624,0.9398070573806764,0.940233051776886,0.9337426424026488,0.9363989233970642,0.9320386052131652,0.939706802368164,0.9306352734565736,0.9295827746391296,0.9407091736793518,0.9304598569869996,0.9386292695999146,0.9314121007919312,0.9409597516059875,0.9321638941764832,0.9285553097724916,0.9301591515541076
9,9,0.9818318486213684,0.9351209402084352,0.981856882572174,0.9313369393348694,0.9095351696014404,0.9315123558044434,0.9426888823509216,0.9336173534393309,0.9452700018882751,0.9308608174324036,0.9451196789741516,0.933216392993927,0.9458213448524476,0.9348452687263488,0.9327903985977172,0.9460969567298888,0.9326650500297546,0.9443678855895996,0.9357975125312804,0.9430647492408752,0.9344192743301392,0.9307104349136353,0.9300087690353394
10,10,0.9827339649200441,0.935471773147583,0.9846636056900024,0.9379276037216188,0.912341833114624,0.9340433478355408,0.949505090713501,0.9398822188377379,0.9513344168663024,0.9362736344337464,0.9477258324623108,0.9419370889663696,0.9505826234817504,0.9363738894462584,0.9331412315368652,0.9509084224700928,0.9361483454704284,0.9495301246643066,0.9340684413909912,0.9498308300971984,0.9364240169525146,0.931712806224823,0.9311865568161012
