,right,cam,ctm,cam_time,ctm_time,rate
0,1,0,0,-525.0388984680176,,0.37106017191977075
1,1,0,0,-525.0388984680176,,0.37106017191977075
2,1,0,0,-525.0388984680176,,0.37106017191977075
3,1,0,0,-525.0388984680176,,0.37106017191977075
4,0,0,0,-525.0388984680176,,0.37106017191977075
5,1,0,0,-525.0388984680176,,0.37106017191977075
6,1,0,0,-525.0388984680176,,0.37106017191977075
7,1,0,0,-525.0388984680176,,0.37106017191977075
8,1,2,0,-525.0388984680176,,0.37106017191977075
9,1,0,0,-525.0388984680176,,0.37106017191977075
10,1,0,0,-525.0388984680176,,0.37106017191977075
11,0,0,0,-525.0388984680176,,0.37106017191977075
12,0,0,0,-525.0388984680176,,0.37106017191977075
13,1,0,0,-525.0388984680176,,0.37106017191977075
14,1,0,0,-525.0388984680176,,0.37106017191977075
15,1,0,0,-525.0388984680176,,0.37106017191977075
16,1,0,0,-525.0388984680176,,0.37106017191977075
17,0,0,0,-525.0388984680176,,0.37106017191977075
18,1,0,0,-525.0388984680176,,0.37106017191977075
19,1,0,0,-525.0388984680176,,0.37106017191977075
20,1,0,0,-525.0388984680176,,0.37106017191977075
21,1,0,0,-525.0388984680176,,0.37106017191977075
22,1,0,0,-525.0388984680176,,0.37106017191977075
23,0,0,0,-525.0388984680176,,0.37106017191977075
24,1,0,0,-525.0388984680176,,0.37106017191977075
25,0,0,0,-525.0388984680176,,0.37106017191977075
26,1,0,0,-525.0388984680176,,0.37106017191977075
27,0,0,0,-525.0388984680176,,0.37106017191977075
28,0,0,0,-525.0388984680176,,0.37106017191977075
29,1,0,0,-525.0388984680176,,0.37106017191977075
30,1,0,0,-525.0388984680176,,0.37106017191977075
31,1,0,0,-525.0388984680176,,0.37106017191977075
32,1,0,0,-525.0388984680176,,0.37106017191977075
33,1,0,0,-525.0388984680176,,0.37106017191977075
34,0,0,0,-525.0388984680176,,0.37106017191977075
35,1,0,0,-525.0388984680176,,0.37106017191977075
36,1,0,0,-525.0388984680176,,0.37106017191977075
37,0,0,0,-525.0388984680176,,0.37106017191977075
38,1,0,0,-525.0388984680176,,0.37106017191977075
39,1,0,0,-525.0388984680176,,0.37106017191977075
40,0,0,0,-525.0388984680176,,0.37106017191977075
41,1,0,0,-525.0388984680176,,0.37106017191977075
42,0,0,0,-525.0388984680176,,0.37106017191977075
43,1,0,0,-525.0388984680176,,0.37106017191977075
44,1,0,0,-525.0388984680176,,0.37106017191977075
45,1,0,0,-525.0388984680176,,0.37106017191977075
46,1,0,0,-525.0388984680176,,0.37106017191977075
47,1,0,0,-525.0388984680176,,0.37106017191977075
48,1,0,0,-525.0388984680176,,0.37106017191977075
49,0,0,0,-525.0388984680176,,0.37106017191977075
50,1,0,0,-525.0388984680176,,0.37106017191977075
51,1,0,0,-525.0388984680176,,0.37106017191977075
52,1,0,0,-525.0388984680176,,0.37106017191977075
53,1,0,0,-525.0388984680176,,0.37106017191977075
54,1,0,0,-525.0388984680176,,0.37106017191977075
55,1,0,0,-525.0388984680176,,0.37106017191977075
56,1,0,0,-525.0388984680176,,0.37106017191977075
57,1,0,0,-525.0388984680176,,0.37106017191977075
58,1,0,0,-525.0388984680176,,0.37106017191977075
59,1,0,0,-525.0388984680176,,0.37106017191977075
60,1,0,0,-525.0388984680176,,0.37106017191977075
61,1,0,0,-525.0388984680176,,0.37106017191977075
62,1,0,0,-525.0388984680176,,0.37106017191977075
63,1,0,0,-525.0388984680176,,0.37106017191977075
64,1,0,0,-525.0388984680176,,0.37106017191977075
65,1,0,0,-525.0388984680176,,0.37106017191977075
66,0,0,0,-525.0388984680176,,0.37106017191977075
67,0,0,0,-525.0388984680176,,0.37106017191977075
68,0,0,0,-525.0388984680176,,0.37106017191977075
69,1,0,0,-525.0388984680176,,0.37106017191977075
70,1,0,0,-525.0388984680176,,0.37106017191977075
71,1,0,0,-525.0388984680176,,0.37106017191977075
72,1,0,0,-525.0388984680176,,0.37106017191977075
73,1,0,0,-525.0388984680176,,0.37106017191977075
74,1,0,0,-525.0388984680176,,0.37106017191977075
75,0,0,0,-525.0388984680176,,0.37106017191977075
76,1,0,0,-525.0388984680176,,0.37106017191977075
77,1,0,0,-525.0388984680176,,0.37106017191977075
78,1,0,0,-525.0388984680176,,0.37106017191977075
79,1,0,0,-525.0388984680176,,0.37106017191977075
80,1,0,0,-525.0388984680176,,0.37106017191977075
81,1,29,0,-525.0388984680176,,0.37106017191977075
82,1,0,0,-525.0388984680176,,0.37106017191977075
83,1,0,0,-525.0388984680176,,0.37106017191977075
84,1,0,0,-525.0388984680176,,0.37106017191977075
85,1,0,0,-525.0388984680176,,0.37106017191977075
86,1,0,0,-525.0388984680176,,0.37106017191977075
87,1,0,0,-525.0388984680176,,0.37106017191977075
88,1,0,0,-525.0388984680176,,0.37106017191977075
89,1,0,0,-525.0388984680176,,0.37106017191977075
90,1,45,0,-525.0388984680176,,0.37106017191977075
91,1,0,0,-525.0388984680176,,0.37106017191977075
92,1,0,0,-525.0388984680176,,0.37106017191977075
93,1,0,0,-525.0388984680176,,0.37106017191977075
94,1,0,0,-525.0388984680176,,0.37106017191977075
95,1,0,0,-525.0388984680176,,0.37106017191977075
96,1,0,0,-525.0388984680176,,0.37106017191977075
97,1,0,0,-525.0388984680176,,0.37106017191977075
98,0,0,0,-525.0388984680176,,0.37106017191977075
99,1,0,0,-525.0388984680176,,0.37106017191977075
100,1,0,0,-525.0388984680176,,0.37106017191977075
101,1,0,0,-525.0388984680176,,0.37106017191977075
102,1,0,0,-525.0388984680176,,0.37106017191977075
103,0,0,0,-525.0388984680176,,0.37106017191977075
104,1,0,0,-525.0388984680176,,0.37106017191977075
105,1,0,0,-525.0388984680176,,0.37106017191977075
106,1,0,0,-525.0388984680176,,0.37106017191977075
107,0,0,0,-525.0388984680176,,0.37106017191977075
108,1,0,0,-525.0388984680176,,0.37106017191977075
109,1,0,0,-525.0388984680176,,0.37106017191977075
110,1,0,0,-525.0388984680176,,0.37106017191977075
111,1,0,0,-525.0388984680176,,0.37106017191977075
112,1,0,0,-525.0388984680176,,0.37106017191977075
113,1,0,0,-525.0388984680176,,0.37106017191977075
114,1,0,0,-525.0388984680176,,0.37106017191977075
115,1,0,0,-525.0388984680176,,0.37106017191977075
116,1,0,0,-525.0388984680176,,0.37106017191977075
117,1,0,0,-525.0388984680176,,0.37106017191977075
118,1,0,0,-525.0388984680176,,0.37106017191977075
119,1,0,0,-525.0388984680176,,0.37106017191977075
120,1,0,0,-525.0388984680176,,0.37106017191977075
